program_id,Game,Opn.,qualifier,semifinal,final,J_medal,Cls.,weekday,weekend,24to6,6to9,9to12,12to18,18to21,21to24
P12,softball,0,1,0,0,0,0,1,0,0,0,1,0,0,0
P38,soccer,0,1,0,0,0,0,1,0,0,0,0,0,1,0
P65,soccer,0,1,0,0,0,0,1,0,0,0,0,0,1,0
P57,softball,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P74,soccer,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P77,,1,0,0,0,0,0,1,0,0,0,0,0,1,0
P80,,1,0,0,0,0,0,1,0,0,0,0,0,0,1
P98,archery,0,1,0,0,0,0,0,1,0,0,1,0,0,0
P99,badminton,0,1,0,0,0,0,0,1,0,0,1,0,0,0
P101,table tennis,0,1,0,0,0,0,0,1,0,0,1,0,0,0
P105,weightlifting,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P106,table tennis,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P114,table tennis,0,1,0,0,0,0,0,1,0,0,0,0,1,1
P102,judo,0,1,0,0,0,0,0,1,0,0,1,1,0,0
P108,judo,0,0,1,1,1,0,0,1,0,0,0,1,1,0
P107,volleyball,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P113,swimming,0,1,0,0,0,0,0,1,0,0,0,0,1,1
P116,badminton,0,1,0,0,0,0,0,1,0,0,0,0,0,1
P118,swimming,0,1,0,0,0,0,0,1,0,0,0,0,0,1
P115,soccer,0,1,0,0,0,0,0,1,0,0,0,0,1,1
P135,judo,0,1,0,0,0,0,0,1,0,0,1,1,0,0
P146,judo,0,0,1,1,1,0,0,1,0,0,0,0,1,0
P139,skateboard,0,0,0,1,1,0,0,1,0,0,0,1,0,0
P133,swimming,0,0,1,1,1,0,0,1,0,0,1,0,0,0
P149,swimming,0,1,0,0,0,0,0,1,0,0,0,0,1,1
P142,table tennis,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P143,softball,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P147,weightlifting,0,0,0,1,0,0,0,1,0,0,0,1,0,0
P151,volleyball,0,1,0,0,0,0,0,1,0,0,0,0,1,1
P152,soccer,0,1,0,0,0,0,0,1,0,0,0,0,1,1
P148,3on3 basket,0,1,0,0,0,0,0,1,0,0,0,0,1,0
P154,3on3 basket,0,1,0,0,0,0,0,1,0,0,0,0,0,1
P159,7man rugby,0,1,0,0,0,0,1,0,0,0,1,0,0,0
P165,skateboard,0,0,0,1,1,0,1,0,0,0,0,1,0,0
P160,swimming,0,0,1,1,0,0,1,0,0,0,1,1,0,0
P161,softball,0,1,0,0,0,0,1,0,0,0,1,0,0,0
P162,judo,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P170,judo,0,0,1,1,1,0,1,0,0,0,0,1,1,0
P167,3on3 basket,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P168,table tennis,0,1,0,0,0,0,1,0,0,0,0,1,1,0
P174,table tennis,0,0,1,1,1,0,1,0,0,0,0,0,1,1
P172,volleyball,0,1,0,0,0,0,1,0,0,0,0,0,1,1
P173,gymnastics,0,0,0,1,0,0,1,0,0,0,0,0,1,0
P183,7man rugby,0,1,0,0,0,0,1,0,0,0,1,0,0,0
P184,table tennis,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P185,swimming,0,0,1,1,0,0,1,0,0,0,1,0,0,0
P192,judo,0,0,1,1,1,0,1,0,0,0,0,1,1,0
P187,softball,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P193,softball,0,0,0,1,1,0,1,0,0,0,0,0,1,1
P188,3on3 basket,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P189,volleyball,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P195,soccer,0,1,0,0,0,0,1,0,0,0,0,0,1,1
P201,surfing,0,0,1,1,1,0,1,0,0,1,1,0,0,0
P205,7man rugby,0,0,1,1,0,0,1,0,0,0,0,1,1,0
P204,table tennis,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P215,table tennis,0,1,0,0,0,0,1,0,0,0,0,0,1,1
P212,volleyball,0,1,0,0,0,0,1,0,0,0,0,0,1,0
P163,swimming,0,0,1,1,0,0,1,0,0,0,1,1,0,0
P210,judo,0,0,1,1,1,0,1,0,0,0,0,1,1,0
P206,baseball,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P209,gymnastics,0,0,0,1,1,0,1,0,0,0,0,0,1,1
P213,soccer,0,1,0,0,0,0,1,0,0,0,0,0,1,1
P221,table tennis,0,0,1,0,0,0,1,0,0,1,1,1,0,0
P227,table tennis,0,0,1,1,1,0,1,0,0,0,0,1,1,1
P223,swimming,0,0,1,1,0,0,1,0,0,0,1,1,0,0
P225,judo,0,0,1,1,1,0,1,0,0,0,0,1,1,0
P224,basketball,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P222,badminton,0,0,1,0,0,0,1,0,0,0,1,0,0,0
P226,badminton,0,1,0,0,0,0,1,0,0,0,0,1,1,1
P229,gymnastics,0,0,0,1,0,0,1,0,0,0,0,0,1,1
P241,athletics,0,1,0,0,0,0,1,0,0,1,1,0,0,0
P250,athletics,0,1,0,0,0,0,1,0,0,0,0,0,1,1
P242,badminton,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P244,swimming,0,0,1,1,0,0,1,0,0,0,1,1,0,0
P243,judo,0,0,1,1,0,0,1,0,0,0,1,0,0,0
P248,judo,0,0,1,1,1,0,1,0,0,0,0,1,1,0
P245,trampoline,0,1,0,1,0,0,1,0,0,0,0,1,0,0
P251,soccer,0,1,0,0,0,0,1,0,0,0,0,0,1,1
P249,fencing,0,0,0,1,1,0,1,0,0,0,0,0,1,0
P256,triathlon,0,0,0,0,0,0,0,1,0,1,0,0,0,0
P261,baseball,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P263,trampoline,0,1,1,1,0,0,0,1,0,0,0,1,0,0
P258,badminton,0,1,1,0,0,0,0,1,0,0,1,1,0,0
P259,golf,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P260,swimming,0,0,1,1,0,0,0,1,0,0,1,0,0,0
P265,judo,0,0,0,1,1,0,0,1,0,0,0,1,1,0
P273,tennis,0,0,0,1,0,0,0,1,0,0,0,0,0,1
P267,soccer,0,1,0,0,0,0,0,1,0,0,0,0,1,0
P269,athletics,0,1,1,1,0,0,0,1,0,0,0,0,1,1
P257,athletics,0,1,1,1,0,0,0,1,0,0,0,0,1,1
P271,volleyball,0,1,0,0,0,0,0,1,0,0,0,0,1,0
P291,golf,0,0,1,1,0,0,0,1,0,0,1,1,0,0
P287,bicycle,0,0,0,0,0,0,0,1,0,0,1,1,0,0
P288,swimming,0,0,0,1,0,0,0,1,0,0,1,0,0,0
P296,basketball,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P294,gymnastics,0,0,0,1,1,0,0,1,0,0,0,1,1,0
P297,athletics,0,0,1,1,0,0,0,1,0,0,0,0,1,0
P295,boxing,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P304,athletics,0,1,0,1,0,0,1,0,0,0,1,0,0,0
P305,athletics,0,1,0,1,0,0,1,0,0,0,0,1,0,0
P303,table tennis,0,1,0,0,0,0,1,0,0,0,1,0,0,0
P310,baseball,0,1,0,0,0,0,1,0,0,0,0,0,1,1
P311,badminton,0,0,0,1,0,0,1,0,0,0,0,0,1,1
P306,dive,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P307,soccer,0,0,1,0,0,0,1,0,0,0,0,1,1,0
P308,gymnastics,0,0,0,1,1,0,1,0,0,0,0,1,1,0
P309,wrestling,0,0,1,1,1,0,1,0,0,0,0,0,1,1
P313,athletics,0,1,0,1,0,0,1,0,0,0,1,0,0,0
P315,wrestling,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P316,volleyballwrestling,0,0,1,0,0,0,1,0,0,0,0,1,0,0
P320,wrestling,0,0,1,1,1,0,1,0,0,0,0,0,1,1
P314,table tennis,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P321,table tennis,0,0,1,0,0,0,1,0,0,0,0,0,1,1
P318,basketball,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P317,bicycle,0,1,0,1,0,0,1,0,0,0,0,1,0,0
P322,soccer,0,0,1,0,0,0,1,0,0,0,0,0,1,1
P319,gymnastics,0,0,0,1,1,0,1,0,0,0,0,1,1,0
P332,table tennis,0,0,1,0,0,0,1,0,0,1,1,1,0,0
P325,table tennis,0,0,1,0,0,0,1,0,0,0,0,0,1,1
P326,volleyball,0,1,0,0,0,0,1,0,0,1,1,0,0,0
P327,skateboard,0,1,0,0,0,0,1,0,0,0,1,0,0,0
P329,skateboard,0,0,0,1,1,0,1,0,0,0,0,1,0,0
P328,wrestling,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P331,wrestling,0,0,1,1,1,0,1,0,0,0,0,0,1,1
P333,baseball,0,0,1,0,0,0,1,0,0,0,0,0,1,1
P330,sailing,0,0,0,0,0,0,1,0,0,0,0,1,0,0
P339,athletics,0,1,0,1,1,0,1,0,0,1,1,1,0,0
P343,athletics,0,0,0,0,0,0,1,0,0,0,0,1,0,0
P345,skateboard,0,1,0,1,1,0,1,0,0,0,1,1,0,0
P340,golf,0,0,0,0,0,0,1,0,0,0,1,1,1,0
P344,karate,0,1,1,1,1,0,1,0,0,0,0,1,1,1
P346,table tennis,0,0,0,1,1,0,1,0,0,0,0,0,1,1
P338,wrestling,0,0,0,1,1,0,1,0,0,0,0,0,1,1
P352,golf,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P349,golf,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P348,athletics,0,0,0,1,0,0,1,0,1,1,1,0,0,0
P362,athletics,0,0,0,1,0,0,1,0,0,0,0,0,1,1
P353,table tennis,0,0,0,1,1,0,1,0,0,0,1,1,0,0
P356,rhythmic sports gymnastics,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P351,wrestling,0,0,0,1,1,0,1,0,0,0,1,1,0,0
P359,wrestling,0,0,0,1,1,0,1,0,0,0,1,1,0,0
P355,volleyball,0,0,1,0,0,0,1,0,0,0,0,1,0,0
P358,sports climbing,0,0,0,1,1,0,1,0,0,0,0,1,1,1
P363,basketball,0,0,0,1,0,0,1,0,0,0,0,0,1,0
P377,athletics,0,0,0,1,0,0,0,1,0,1,1,0,0,0
P380,athletics,0,0,0,1,0,0,0,1,0,0,0,0,1,1
P375,rhythmic sports gymnastics,0,1,0,0,0,0,0,1,0,0,1,1,0,0
P381,rhythmic sports gymnastics,0,0,0,1,0,0,0,1,0,0,0,1,0,0
P370,dive,0,0,1,0,0,0,0,1,0,0,0,1,0,0
P374,dive,0,0,0,1,0,0,0,1,0,0,0,1,0,0
P378,baseball,0,0,0,1,1,0,0,1,0,0,0,0,1,1
P367,artistic swimming,0,1,0,0,0,0,0,1,0,0,0,0,1,1
P384,athletics,0,0,0,1,0,0,0,1,0,1,1,0,0,0
P390,volleyball,0,0,0,1,0,0,0,1,0,0,0,1,0,0
P385,bicycle,0,0,1,1,1,0,0,1,0,0,1,1,0,0
P388,rhythmic sports gymnastics,0,0,0,1,0,0,0,1,0,0,1,1,0,0
P392,rhythmic sports gymnastics,0,0,0,1,0,0,0,1,0,0,1,1,0,0
P387,basketball,0,0,0,1,1,0,0,1,0,0,1,1,0,0
P399,,0,0,0,0,0,1,0,1,0,0,0,0,1,1
